Species,Population 1,Population 2,ave_dist,short_dist,PhiST value,Pop 1 size eDNA,Pop 2 size eDNA,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
Chromis vanderbilti,Hawaii,Oahu,329,250,0.017779463,3756,2436,0,0,0,yes,yes,yes,-0.00158027,0.383616384,0.948051948,0.022462103,0.024975025,0.14985015,32,33
Chromis vanderbilti,Maui,Kauai,353,297,0.044309463,2520,1833,0,0,0,yes,yes,yes,-0.017183716,0.948051948,0.948051948,-0.013513514,0.599400599,0.736263736,30,30
Chromis vanderbilti,Maui,Oahu,183,107,0.023734917,2520,2436,0,0,0,yes,yes,yes,-0.012426944,0.59040959,0.948051948,0.000146988,0.736263736,0.736263736,30,33
Chromis vanderbilti,Oahu,Kauai,180,116,0.043843142,2436,1833,0,0,0,yes,yes,yes,-0.017076191,0.849150849,0.948051948,0.001997218,0.118881119,0.356643357,33,30
Lutjanus fulvus,Hawaii,Kauai,490,429,0.062405736,583,480,0,0,0,yes,yes,yes,-0.018378261,0.67032967,0.98001998,,,,40,27
Lutjanus fulvus,Hawaii,Oahu,329,250,0.053183859,583,713,0,0,0,yes,yes,yes,-0.018444266,0.821178821,0.98001998,,,,40,40
Lutjanus fulvus,Oahu,Kauai,180,116,0.071049202,713,480,0,0,0,yes,yes,yes,-0.021538678,0.778221778,0.98001998,,,,40,27
Lutjanus kasmira,Oahu,Kauai,180,116,0.37606452,27,379,0,0,0,yes,yes,yes,0.001,1,1,,,,50,36
Mulloidichthys flavolineatus,Hawaii,Kauai,490,429,0.060169703,795,339,0,0,0,yes,yes,yes,-0.013135232,0.999000999,0.999000999,-0.012685075,0.969030969,0.969030969,83,60
Mulloidichthys flavolineatus,Hawaii,Maui,151,46,0.046286554,795,967,0,0,0,yes,yes,yes,0.034112295,0.027972028,0.038361638,0.0053262,0.168831169,0.251748252,83,25
Mulloidichthys flavolineatus,Hawaii,Oahu,329,250,0.064250527,795,1629,0,0,0,yes,yes,yes,0.115702448,0,0,0.224355207,0,0,83,57
Mulloidichthys flavolineatus,Maui,Kauai,353,297,0.061880276,967,339,0,0,0,yes,yes,yes,0.042585502,0.031968032,0.038361638,0.004626863,0.20979021,0.251748252,25,60
Mulloidichthys flavolineatus,Maui,Oahu,183,107,0.064695121,967,1629,0,0,0,yes,yes,yes,0.093829812,0,0,0.118462735,0,0,25,57
Mulloidichthys flavolineatus,Oahu,Kauai,180,116,0.069325809,1629,339,0,0,0,yes,yes,yes,0.103036697,0,0,0.192381152,0,0,57,60
Stenella longirostris,Hawaii,Kauai,490,429,0.278581064,275,194,0,0,0,yes,yes,yes,0.024,0.00001,0.000001,,,,79,32
Stenella longirostris,Hawaii,Oahu,329,250,0.691219523,275,55,0,0,0,yes,yes,yes,0.018,0.000001,0.00000001,,,,79,40
Stenella longirostris,Oahu,Kauai,180,116,0.899316,55,194,0,0,0,yes,yes,yes,0.003,0.5,0.5,,,,40,32
Triaenodon obesus,Hawaii,Maui,151,46,0,53,46,0.999000999,0.999000999,1,no,no,no,0.19,0.5,0.5,,,,7,17
Triaenodon obesus,Hawaii,Oahu,329,250,0.029129792,53,307,0.023976024,0.050949051,0.071928072,yes,no,no,0.2,0.5,0.5,,,,7,17
Triaenodon obesus,Maui,Oahu,183,107,0.027015137,46,307,0.033966034,0.050949051,0.101898102,yes,no,no,-0.05,0.5,0.5,,,,17,17
Zebrasoma flavescens,Hilo,Kauai,555,544,0.107735657,252,74,0,0,0,yes,yes,yes,-0.022648084,0.993006993,0.993006993,-0.022256098,0.856143856,0.97014097,42,42
Zebrasoma flavescens,Hilo,Kona,184,123,0.049576833,252,7751,0,0,0,yes,yes,yes,-0.004855462,0.406593407,0.902430902,-0.014615309,0.683316683,0.97014097,42,54
Zebrasoma flavescens,Hilo,Maui,305,183,0.147438401,252,3418,0,0,0,yes,yes,yes,-0.016941435,0.724275724,0.902430902,-0.024546467,0.984015984,0.984015984,42,39
Zebrasoma flavescens,Hilo,Oahu,392,344,0.113430605,252,49,0,0,0,yes,yes,yes,-0.021518925,0.808191808,0.902430902,-0.020546654,0.72027972,0.97014097,42,35
Zebrasoma flavescens,Kona,Kauai,457,429,0.05964227,7751,74,0,0,0,yes,yes,yes,-0.004836203,0.453546454,0.902430902,-0.011321728,0.586413586,0.97014097,54,42
Zebrasoma flavescens,Kona,Maui,127,90,0.046136415,7751,3418,0,0,0,yes,yes,yes,-0.01395387,0.714285714,0.902430902,-0.01457174,0.665334665,0.97014097,54,39
Zebrasoma flavescens,Kona,Oahu,284,250,0.080584402,7751,49,0,0,0,yes,yes,yes,-0.012555735,0.612387612,0.902430902,-0.013977325,0.662337662,0.97014097,54,35
Zebrasoma flavescens,Maui,Kauai,353,297,0.005947795,3418,74,0.12987013,0.12987013,1,no,no,no,-0.01890166,0.812187812,0.902430902,-0.022827416,0.873126873,0.97014097,39,42
Zebrasoma flavescens,Maui,Oahu,183,107,0.0332755,3418,49,0.014985015,0.016650017,0.14985015,yes,yes,no,-0.020834542,0.8001998,0.902430902,-0.023324766,0.801198801,0.97014097,39,35
Zebrasoma flavescens,Oahu,Kauai,180,116,0.030309853,49,74,0.007992008,0.00999001,0.07992008,yes,yes,no,-0.017522899,0.668331668,0.902430902,-0.013337199,0.513486513,0.97014097,35,42
