Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,tajima_long,fs_long,R2_long,r_long,n_short,H_short,h_short,π_short,tajima_short,fs_short,R2_short,r_short,n_pa,H_pa,h_pa,π_pa,tajima_pa,fs_pa,R2_pa,r_pa,n_scaled,H_scaled,h_scaled,π_scaled,tajima_scaled,fs_scaled,R2_scaled,r_scaled,n_raw,H_raw,h_raw,π_raw,tajima_raw,fs_raw,R2_raw,r_raw
Abudefduf abdominalis,mamo,all,83,13,0.423,0.001,-2.109,-13.74,0.026,0.125,83,4,0.094,0,-1.562,-4.559,0.052,0.669,118,23,0.339,0.002,-2.604,-42.947,0.017,0.199,218,23,0.241,0.001,-2.499,-46.683,0.012,0.333,12055,23,0.151,7.00E-04,-1.91,,0.004,0.518
Abudefduf abdominalis,mamo,Hawai'i Island,11,4,0.491,0.001,-1.6,-2.042,0.148,0.154,11,2,0.182,0.001,-1.129,-0.41,0.287,0.438,45,10,0.364,0.002,-2.3,-11.931,0.044,0.181,83,10,0.227,0.001,-2.225,-13.461,0.033,0.352,4616,10,0.136,6.00E-04,-1.48,,0.008,0.553
Abudefduf abdominalis,mamo,Maui,19,6,0.468,0.001,-1.966,-4.525,0.088,0.142,19,2,0.105,0,-1.165,-0.838,0.223,0.634,13,2,0.154,0.001,-1.149,-0.537,0.266,0.503,21,2,0.095,0,-1.164,-0.919,0.213,0.664,721,2,0.038,2.00E-04,-0.616,,0.019,0.855
Abudefduf abdominalis,mamo,O'ahu,27,6,0.453,0.001,-1.708,-3.175,0.063,0.103,27,1,NA,NA,NA,NA,NA,NA,35,8,0.365,0.002,-2.09,-7.562,0.054,0.172,70,8,0.313,0.002,-1.862,-7.754,0.035,0.229,3917,8,0.22,0.001,-1.113,,0.017,0.37
Abudefduf abdominalis,mamo,Kaua'i,26,6,0.354,0.001,-2.091,-4.453,0.084,0.186,26,3,0.151,0.001,-1.513,-2.176,0.133,0.513,25,6,0.367,0.002,-1.999,-5.063,0.08,0.181,44,6,0.217,0.001,-1.998,-6.612,0.063,0.371,2801,6,0.099,4.00E-04,-1.211,,0.01,0.656
Abudefduf vaigiensis,kupīpī,all,72,14,0.81,0.003,-1.91,-5.057,0.057,0.0258,72,6,0.509,0.003,-1.687,-1.578,0.062,0.0936,156,31,0.711,0.005,-2.26,-33.846,0.019,0.0524,289,31,0.663,0.005,-2.137,-34.474,0.018,0.0497,9816,31,0.476,0.0029,-1.715,,0.011,0.088
Abudefduf vaigiensis,kupīpī,Hawai'i Island,19,9,0.883,0.003,-1.33,-3.111,0.09,0.0597,19,5,0.731,0.005,-0.842,-0.685,0.12,0.0532,37,10,0.635,0.004,-1.753,-7.007,0.051,0.0822,63,10,0.581,0.003,-1.564,-6.225,0.046,0.0711,1446,10,0.42,0.0024,-0.973,,0.031,0.125
Abudefduf vaigiensis,kupīpī,Maui,17,7,0.838,0.003,-0.231,-1.522,0.119,0.0561,17,2,0.382,0.002,0.334,0.834,0.191,0.204,21,9,0.767,0.006,-1.876,-4.705,0.076,0.0531,29,9,0.648,0.005,-1.976,-4.988,0.067,0.0439,556,9,0.472,0.003,-1.214,,0.031,0.106
Abudefduf vaigiensis,kupīpī,O'ahu,16,9,0.892,0.003,-1.02,-3.707,0.095,0.0889,16,5,0.533,0.004,-1.295,-1.924,0.116,0.204,46,9,0.634,0.004,-1.601,-3.882,0.051,0.0876,104,9,0.602,0.003,-1.308,-2.952,0.046,0.0988,4847,9,0.403,0.002,-0.905,,0.026,0.151
Abudefduf vaigiensis,kupīpī,Kaua'i,20,7,0.642,0.002,-1.978,-2.8,0.081,0.0807,20,4,0.363,0.002,-1.577,-1.278,0.124,0.361,52,15,0.796,0.006,-1.54,-9.375,0.051,0.0522,93,15,0.754,0.006,-1.336,-7.643,0.049,0.0413,2967,15,0.584,0.0044,-0.752,,0.036,0.071
Pycnochromis vanderbilti,,all,125,19,0.556,0.001,-2.182,-19.63,0.023,0.0997,125,7,0.168,0.001,-1.83,-8.505,0.028,0.473,135,28,0.429,0.002,-2.612,-51.52,0.014,0.136,248,28,0.329,0.002,-2.51,-54.059,0.01,0.21,10545,28,0.251,0.0012,-1.946,,0.005,0.313
Pycnochromis vanderbilti,,Hawai'i Island,32,9,0.696,0.001,-1.371,-4.44,0.067,0.155,32,4,0.288,0.001,-1.367,-2.306,0.071,0.259,48,13,0.441,0.002,-2.428,-16.799,0.036,0.139,85,13,0.36,0.002,-2.267,-16.858,0.026,0.184,3756,13,0.257,0.0012,-1.514,,0.011,0.302
Pycnochromis vanderbilti,,Maui,30,8,0.51,0.001,-1.805,-5.737,0.061,0.0789,30,2,0.067,0.001,-1.147,-1.211,0.18,0.756,32,6,0.391,0.002,-1.756,-4.401,0.063,0.166,64,6,0.261,0.001,-1.704,-5.208,0.041,0.297,2520,6,0.179,8.00E-04,-1.015,,0.019,0.449
Pycnochromis vanderbilti,,O'ahu,33,6,0.492,0.001,-1.394,-3.232,0.074,0.119,33,2,0.061,0,-1.14,-1.29,0.171,0.776,26,7,0.415,0.002,-1.958,-5.58,0.067,0.129,54,7,0.275,0.001,-1.883,-6.506,0.046,0.283,2436,7,0.183,8.00E-04,-1.143,,0.016,0.444
Pycnochromis vanderbilti,,Kaua'i,30,6,0.529,0.001,-1.602,-2.945,0.08,0.111,30,5,0.253,0.001,-1.889,-4.411,0.085,0.309,29,8,0.48,0.002,-2.065,-7.01,0.059,0.136,45,8,0.426,0.002,-1.901,-6.834,0.048,0.149,1833,8,0.397,0.0019,-0.84,,0.031,0.162
Cephalopholis argus,roi,all,180,10,0.577,0.001,-1.25,-4.963,0.041,0.119,NA,NA,NA,NA,NA,NA,NA,NA,13,2,0.462,0.002,0.951,0.976,0.231,0.219,24,2,0.344,0.001,0.48,0.847,0.172,0.216,340,2,0.299,0.0013,0.855,,0.15,0.251
Cephalopholis argus,roi,Hawai'i Island,51,5,0.519,0.001,-0.557,-1.183,0.086,0.0863,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0.5,0.002,-0.612,0.172,0.433,0.25,5,2,0.4,0.002,-0.816,0.09,0.4,0.2,64,2,0.119,5.00E-04,-0.552,,0.06,0.595
Cephalopholis argus,roi,Maui,53,4,0.552,0.001,-0.15,-0.316,0.106,0.195,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0.6,0.003,1.225,0.626,0.3,0.4,14,2,0.363,0.002,0.324,0.643,0.181,0.207,188,2,0.324,0.0014,0.904,,0.162,0.229
Cephalopholis argus,roi,O'ahu,53,6,0.62,0.001,-0.672,-1.687,0.082,0.114,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,0.004,0,NA,0.5,0,2,2,1,0.004,0,NA,0.5,0,42,2,0.511,0.0022,1.688,,0.256,0.262
Cephalopholis argus,roi,Kaua'i,23,5,0.652,0.001,-0.628,-1.397,0.109,0.145,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,46,1,NA,NA,NA,,NA,
Stenella longirostris ,nai'a,all,151,15,0.636,0.007,-1.124,-1.331,0.055,0.136,NA,NA,NA,NA,NA,NA,NA,NA,12,5,0.576,0.004,-1.103,-2.144,0.12,0.0826,23,5,0.652,0.004,-0.244,-0.968,0.124,0.079,524,5,0.579,0.0038,0.808,,0.111,0.0724
Stenella longirostris ,nai'a,Hawai'i Island,79,12,0.721,0.009,-0.489,0.053,0.084,0.131,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.7,0.004,0.243,-0.475,0.25,0.11,13,3,0.641,0.004,0.767,0.375,0.205,0.122,275,3,0.559,0.0031,1.652,,0.183,0.0778
Stenella longirostris ,nai'a,O'ahu,40,6,0.582,0.005,-0.968,0.716,0.081,0.114,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,55,1,NA,NA,NA,,NA,
Stenella longirostris ,nai'a,Kaua'i,32,5,0.429,0.005,-1.493,1.751,0.094,0.318,NA,NA,NA,NA,NA,NA,NA,NA,6,2,0.333,0.001,-0.933,-0.003,0.373,0.222,7,2,0.286,0.001,-1.006,-0.095,0.35,0.265,194,2,0.291,0.0012,0.709,,0.145,0.26
Triaenodon obesus,manō lālākea,all,41,4,0.472,0.002,-0.366,3.722,0.128,0.527,NA,NA,NA,NA,NA,NA,NA,NA,5,3,0.7,0.003,-0.973,-0.829,0.245,0.35,9,3,0.417,0.002,-1.362,-1.081,0.208,0.169,406,3,0.183,8.00E-04,-0.472,,0.047,0.438
Triaenodon obesus,manō lālākea,Hawai'i Island,7,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,53,1,NA,NA,NA,NA,NA,
Triaenodon obesus,manō lālākea,Maui,17,4,0.596,0.003,-0.276,2.755,0.174,0.377,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,46,1,NA,NA,NA,NA,NA,
Triaenodon obesus,manō lālākea,O'ahu,17,2,0.485,0.002,1.961,4.905,0.243,0.736,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,0.006,0,NA,0.236,0.667,6,3,0.6,0.003,-1.132,-0.858,0.236,0.24,307,3,0.236,0.001,-0.295,,0.061,0.336
